ISO3,GDP.PPP.2011USD,GDP.currUSD,GDP.currLCU,Currency.Name,Currency.Code
USA,55719.11998144232,62794.585652239766,62794.585652239766,US Dollar (Next day),USN
UZB,7591.986726710968,1532.371676796836,12365635.983784145,Uzbekistan Sum,UZS
VCT,10903.411088363504,7361.400961800199,19875.78259686054,East Caribbean Dollar,XCD
VEN,9401.622748208714,16054.490513096169,6835285.938620318,Bolivar,VEF
VNM,6608.621685580133,2566.5969495851127,58010352.5843702,Dong,VND
VUT,2858.2023692787307,3123.8933964995563,344154.02487358206,Vatu,VUV
WLD,15914.05317128405,11312.447743488407,NA,NA,NA
WSM,5752.9931569544315,4183.407935046958,10736.298124504512,Tala,WST
XKX,10069.671103263958,4302.276482523781,3644.888635994147,Euro,EUR
YEM,2284.9705040984804,944.4084993734193,504314.13866540586,Yemeni Rial,YER
ZAF,12144.694204775587,6374.028195759437,84353.25173986082,Rand,ZAR
ZMB,3747.9724548957765,1539.9001577990691,16104.429840278444,Zambian Kwacha,ZMW
ZWE,2688.4069420601277,2146.996384877074,2146.996384877074,Zimbabwe Dollar,ZWL
ABW,35861.82811816858,25630.266492206945,45878.17702105043,Aruban Florin,AWG
CYM,65995.80921437962,81124.51347948208,67601.05708245242,Cayman Islands Dollar,KYD
CYP,33047.5457880328,28159.3016999455,23856.5604001938,Euro,EUR
IRN,19097.9667811982,5627.749268454558,189857194.4245051,Iranian Rial,IRR
MAR,7508.79543448053,3237.88336815666,30391.0970818553,Moroccan Dirham,MAD
MNA,12502.824061530706,3823.2179468724266,NA,NA,NA
RUS,24790.6483258882,11288.8724435206,707452.563435909,Russian Ruble,RUB
SDN,4435.8570954933,977.273635724417,23817.3800946487,Sudanese Pound,SDG
SMR,57296.86425672279,48494.55141124265,43034.06492233673,Euro,EUR
SXM,28882.795669303738,NA,44725.686400157734,Netherlands Antillean Guilder,ANG
TMN,12598.1777476628,3829.434226299609,NA,NA,NA
TZA,2809.06900948105,1050.67525379846,2378498.25644904,Tanzanian Shilling,TZS
UKR,7906.54030108419,3095.17358053586,84190.2689773659,Hryvnia,UAH
